timestamp,cpu_percent,mem_pss_kb
2026-02-06 18:04:50,0.00,286880
2026-02-06 18:04:52,21.40,286924
2026-02-06 18:04:54,0.00,286412
2026-02-06 18:04:56,3.30,286428
2026-02-06 18:05:02,3.30,267276
2026-02-06 18:05:04,56.60,271124
2026-02-06 18:05:06,0.00,271384
2026-02-06 18:05:10,83.80,312048
2026-02-06 18:05:12,73.30,313340
2026-02-06 18:05:14,93.30,316000
2026-02-06 18:05:16,64.80,317248
2026-02-06 18:05:18,62.80,318312
2026-02-06 18:05:20,100.00,319528
2026-02-06 18:05:24,0.00,355868
2026-02-06 18:05:26,0.00,393104
2026-02-06 18:05:28,55.00,376740
2026-02-06 18:05:31,56.20,378768
2026-02-06 18:05:33,72.70,380060
2026-02-06 18:05:35,84.30,386864
2026-02-06 18:05:37,3.30,371868
2026-02-06 18:05:39,0.00,374492
2026-02-06 18:05:41,0.00,374176
2026-02-06 18:05:43,6.60,374380
2026-02-06 18:05:45,65.60,376888
2026-02-06 18:05:48,93.50,378884
2026-02-06 18:05:50,80.00,381036
2026-02-06 18:05:53,81.80,384084
2026-02-06 18:05:55,58.90,430748
2026-02-06 18:05:58,86.40,427368
2026-02-06 18:06:00,83.30,428172
2026-02-06 18:06:02,74.10,430252
2026-02-06 18:06:04,76.60,431156
2026-02-06 18:06:06,116.00,435620
2026-02-06 18:06:08,141.00,410196
2026-02-06 18:06:10,30.20,401952
2026-02-06 18:06:15,75.00,349472
2026-02-06 18:06:18,31.30,328260
2026-02-06 18:06:20,67.60,328476
2026-02-06 18:06:22,89.70,334128
2026-02-06 18:06:25,94.50,326276
2026-02-06 18:06:27,0.00,279616
2026-02-06 18:06:29,5.20,279896
2026-02-06 18:06:32,0.00,279884
2026-02-06 18:06:34,116.00,281776
2026-02-06 18:06:36,86.60,282464
2026-02-06 18:06:38,55.80,281852
2026-02-06 18:06:40,73.30,281876
2026-02-06 18:06:42,64.70,281488
2026-02-06 18:06:44,69.40,281612
2026-02-06 18:06:47,74.10,281760
